0,<END>
1,<START>
2,ADJ
3,ADJ/Polarity=Neg
4,ADP
5,ADV
6,AUX
7,AUX/Polarity=Neg
8,CCONJ
9,DET
10,INTJ
11,NOUN
12,NOUN/Polarity=Neg
13,NUM
14,PART
15,PRON
16,PROPN
17,PUNCT
18,SCONJ
19,SYM
20,VERB

1,2,168
1,4,2
1,5,374
1,8,561
1,9,331
1,10,4
1,11,3328
1,12,7
1,13,626
1,15,356
1,16,975
1,17,151
1,19,2
1,20,142
2,2,50
2,4,210
2,5,10
2,6,1294
2,8,6
2,9,1
2,11,805
2,13,7
2,14,76
2,15,3
2,16,24
2,17,309
2,18,136
2,19,10
2,20,187
3,2,2
3,4,3
3,5,1
3,6,8
3,11,6
3,17,8
3,18,6
3,20,2
4,2,1713
4,3,32
4,4,2477
4,5,718
4,6,903
4,7,3
4,8,1
4,9,154
4,11,12936
4,12,45
4,13,1089
4,14,8
4,15,198
4,16,1641
4,17,2100
4,18,3
4,19,2
4,20,12178
5,2,207
5,3,1
5,4,397
5,5,37
5,6,67
5,9,4
5,11,440
5,12,4
5,13,53
5,14,3
5,15,17
5,16,62
5,17,146
5,18,1
5,20,380
6,0,5
6,2,181
6,3,1
6,4,727
6,5,67
6,6,5872
6,7,255
6,8,3
6,9,21
6,11,3541
6,12,9
6,13,81
6,14,275
6,15,34
6,16,330
6,17,6119
6,18,3188
6,19,8
6,20,485
7,0,1
7,2,5
7,4,28
7,6,109
7,11,123
7,14,13
7,15,1
7,16,4
7,17,135
7,18,88
7,19,1
7,20,28
8,2,12
8,4,76
8,5,7
8,9,11
8,11,182
8,12,2
8,13,24
8,15,6
8,16,56
8,17,304
8,18,29
8,20,12
9,2,12
9,4,2
9,5,27
9,11,751
9,13,8
9,15,1
9,16,18
9,17,3
10,4,2
10,10,1
10,11,1
10,17,7
10,19,1
11,0,5
11,2,189
11,3,2
11,4,27110
11,5,92
11,6,1868
11,8,65
11,9,24
11,10,1
11,11,14047
11,12,9
11,13,1478
11,14,396
11,15,11
11,16,597
11,17,3698
11,18,23
11,19,556
11,20,442
12,2,21
12,11,84
12,16,4
13,2,5
13,4,121
13,6,9
13,11,3943
13,13,183
13,16,11
13,17,188
13,19,90
13,20,1
14,0,3
14,2,20
14,4,212
14,5,9
14,6,352
14,7,1
14,8,2
14,11,100
14,13,3
14,14,29
14,16,2
14,17,262
14,18,1
14,19,5
14,20,57
15,2,2
15,4,741
15,5,7
15,6,15
15,8,1
15,11,168
15,13,3
15,14,4
15,15,3
15,16,2
15,17,4
15,18,2
15,19,2
15,20,6
16,0,1
16,2,16
16,4,2327
16,5,1
16,6,31
16,8,4
16,11,2613
16,12,3
16,13,95
16,14,6
16,16,490
16,17,257
16,19,424
16,20,2
17,0,7001
17,2,337
17,4,952
17,5,371
17,6,39
17,8,75
17,9,250
17,10,6
17,11,4764
17,12,22
17,13,651
17,14,11
17,15,291
17,16,1359
17,17,295
17,19,12
17,20,257
18,2,119
18,4,619
18,5,80
18,6,2886
18,8,1
18,9,24
18,11,707
18,12,2
18,13,74
18,14,58
18,15,35
18,16,128
18,17,1272
18,18,235
18,20,557
19,0,10
19,2,5
19,4,2
19,5,1
19,6,2
19,11,467
19,12,2
19,13,134
19,16,475
19,17,12
19,18,4
19,19,6
19,20,9
20,0,1
20,2,64
20,4,193
20,5,17
20,6,7747
20,7,277
20,8,2
20,9,2
20,11,1607
20,12,4
20,13,42
20,14,179
20,15,4
20,16,92
20,17,1423
20,18,3081
20,19,10
20,20,80

1,2,2,7
1,2,4,11
1,2,5,1
1,2,6,69
1,2,8,1
1,2,11,71
1,2,16,1
1,2,17,1
1,2,18,5
1,2,20,1
1,4,4,1
1,4,20,1
1,5,2,29
1,5,4,81
1,5,5,9
1,5,6,5
1,5,9,1
1,5,11,103
1,5,13,15
1,5,15,5
1,5,16,19
1,5,17,54
1,5,18,1
1,5,20,52
1,8,2,6
1,8,4,57
1,8,5,3
1,8,9,10
1,8,11,105
1,8,12,1
1,8,13,19
1,8,15,3
1,8,16,30
1,8,17,292
1,8,18,28
1,8,20,7
1,9,2,5
1,9,5,12
1,9,11,299
1,9,13,4
1,9,15,1
1,9,16,9
1,9,17,1
1,10,4,1
1,10,17,2
1,10,19,1
1,11,2,17
1,11,4,1626
1,11,5,6
1,11,6,37
1,11,8,5
1,11,9,2
1,11,11,1232
1,11,13,137
1,11,14,43
1,11,15,3
1,11,16,52
1,11,17,90
1,11,18,1
1,11,19,51
1,11,20,26
1,12,11,7
1,13,4,1
1,13,11,594
1,13,13,7
1,13,17,6
1,13,19,18
1,15,2,1
1,15,4,283
1,15,5,1
1,15,6,2
1,15,8,1
1,15,11,61
1,15,13,1
1,15,14,1
1,15,15,2
1,15,16,1
1,15,17,1
1,15,20,1
1,16,2,2
1,16,4,395
1,16,5,1
1,16,6,2
1,16,11,447
1,16,12,1
1,16,13,18
1,16,14,1
1,16,16,61
1,16,17,16
1,16,19,31
1,17,2,5
1,17,5,2
1,17,11,98
1,17,13,9
1,17,15,4
1,17,16,30
1,17,20,3
1,19,4,1
1,19,13,1
1,20,4,1
1,20,6,93
1,20,7,4
1,20,11,13
1,20,14,1
1,20,16,1
1,20,18,29
2,2,4,2
2,2,5,1
2,2,6,19
2,2,11,14
2,2,14,1
2,2,17,7
2,2,18,5
2,2,20,1
2,4,2,7
2,4,3,1
2,4,4,11
2,4,5,1
2,4,6,6
2,4,11,108
2,4,13,2
2,4,15,2
2,4,17,6
2,4,20,66
2,5,2,1
2,5,4,5
2,5,6,1
2,5,11,2
2,5,20,1
2,6,2,52
2,6,3,1
2,6,4,31
2,6,5,7
2,6,6,163
2,6,9,2
2,6,11,544
2,6,12,1
2,6,13,5
2,6,14,16
2,6,15,4
2,6,16,12
2,6,17,170
2,6,18,68
2,6,20,218
2,8,2,2
2,8,5,1
2,8,11,3
2,9,11,1
2,11,2,1
2,11,4,480
2,11,6,83
2,11,11,168
2,11,13,3
2,11,14,5
2,11,17,55
2,11,18,2
2,11,19,4
2,11,20,4
2,13,11,6
2,13,17,1
2,14,2,1
2,14,4,53
2,14,6,13
2,14,11,1
2,14,13,3
2,14,14,2
2,14,17,3
2,15,4,2
2,15,11,1
2,16,4,5
2,16,11,12
2,16,13,1
2,16,16,4
2,16,17,1
2,16,19,1
2,17,0,176
2,17,2,11
2,17,4,23
2,17,5,8
2,17,6,2
2,17,8,2
2,17,9,3
2,17,11,59
2,17,12,1
2,17,13,5
2,17,15,2
2,17,16,9
2,17,17,4
2,17,20,4
2,18,2,8
2,18,4,16
2,18,5,5
2,18,6,33
2,18,11,18
2,18,13,4
2,18,14,2
2,18,15,2
2,18,16,1
2,18,17,35
2,18,18,6
2,18,20,6
2,19,2,3
2,19,11,7
2,20,4,1
2,20,6,109
2,20,7,3
2,20,11,18
2,20,14,1
2,20,15,1
2,20,17,11
2,20,18,42
2,20,20,1
3,2,6,1
3,2,11,1
3,4,4,1
3,4,20,2
3,5,4,1
3,6,6,1
3,6,11,3
3,6,17,2
3,6,18,2
3,11,4,5
3,11,6,1
3,17,0,5
3,17,11,3
3,18,2,1
3,18,4,1
3,18,6,1
3,18,15,1
3,18,18,1
3,18,20,1
3,20,11,1
3,20,18,1
4,2,2,26
4,2,4,116
4,2,5,5
4,2,6,688
4,2,8,3
4,2,9,1
4,2,11,366
4,2,13,2
4,2,14,45
4,2,15,2
4,2,16,16
4,2,17,224
4,2,18,93
4,2,19,5
4,2,20,121
4,3,2,2
4,3,4,3
4,3,5,1
4,3,6,8
4,3,11,6
4,3,17,6
4,3,18,6
4,4,2,118
4,4,4,37
4,4,5,85
4,4,6,12
4,4,9,15
4,4,11,1123
4,4,12,4
4,4,13,84
4,4,14,1
4,4,15,18
4,4,16,135
4,4,17,344
4,4,20,501
4,5,2,115
4,5,3,1
4,5,4,121
4,5,5,11
4,5,6,30
4,5,11,169
4,5,12,3
4,5,13,19
4,5,14,2
4,5,15,6
4,5,16,16
4,5,17,36
4,5,20,189
4,6,2,3
4,6,4,28
4,6,6,156
4,6,7,38
4,6,11,30
4,6,14,11
4,6,16,2
4,6,17,184
4,6,18,451
